Id,Name,RegisteredName,MarketCenterStatusId,ContactNumber,ContactEmail,KWOfficeId,FrontdoorId,LogoDocumentId,AddressId,WhoCreatedId,WhenCreated,WhoUpdatedId,WhenUpdated
26,KW Advance,ERA Explore Properties CC t/a KW Advance,1,0104427085,advance@kwsa.co.za,W00005,6021,6,2523578,,,6163,2025/03/07 11:18
27,KW Sync (West Rand North),Vintoscene cc.,2,0105903322,kwsync@kwsa.co.za,W00006,,5,2523579,,,,
28,KW Explore,WEALTH FORGE (Pty) Ltd t/a KW Explore,1,0117061315,explore@kwsa.co.za,W00013,6029,35,2528278,,,2,2026/02/03 09:49
31,KW Scenic,Scenic Overberg (Pty) Ltd t/a KW Scenic,2,028 312 3142,kwscenic@kwsa.co.za,W00007,6023,2,2523581,,,,
33,KW Red Door,Nikkel Trading 76 )Pty) Ltd t/a KW Red Door,2,0129401221,reddoor@kwsa.co.za,W00002,6018,45,2523582,,,,
35,KW Legends,Nordastax (Pty) Ltd t/a KW Legends,2,010 597 3638,kwlegends@kwsa.co.za,W00010,6026,7,2523583,,,,
37,KW South,Mod Three Homes CC t/a KW South,2,0114325556,kwsouth@kwsa.co.za,W00036,6083,10,2523584,,,,
38,KW Avantgarde,,2,0105918158,avantgarde@kwsa.co.za,W00056,,44,2523585,,,,
39,KW Avantgarde Sasolburg,,2,0169731965,,W00068,,46,2523586,,,,
40,KW Centurion Old,Zibimark (Pty) Ltd t/a KW Centurion,2,0126602203,centurion@kwsa.co.za,W00003,6019,47,2523587,,,,
43,KW Clockwork Edenvale,Demigans Properties CC t/a KW Clockwork Edenvale,1,011 453 6021,deon@clockworkproperties.co.za,W00008,6024,15,2525156,,,3160,2025/08/18 19:49
44,KW Clockwork Sandton,Demigans Properties CC t/a KW Clockwork Sandton,2,011 568 2953,deon@clockworkproperties.co.za,W00199,50086,25,2523589,,,,
45,KW Coastal,Emboss Estates Coastal (Pty) Ltd t/a KW Coastal,2,021 201 6556,melanie.coetser@kwsa.co.za,W00014,6030,13,2523590,,,,
46,KW Distinguish Global,Berrydust 78 (Pty) Ltd t/a KW Distinguish,2,0828863571,kwdistinguishglobal@kwsa.co.za,W00083,6247,4,2523591,,,,
47,KW Edge,Pretoria New East (Pty) Ltd t/a KW Edge,1,012 111 0668,edge@kwsa.co.za,W00059,6154,3,2528061,,,2,2026/02/05 06:37
50,KW Explore PE,Ignite 30 60 90 (Pty) Ltd (2024/220910/07),1,041 363 0345,portelizabeth@kwsa.co.za,W00029,6049,19,2528089,,,2,2026/02/04 05:53
54,KW Ignite,EIFA Zimbali (Pty) Ltd t/a KW Ignite,2,0319415820,kwignite@kwsa.co.za,W00017,6033,8,2523594,,,,
55,KW Infinity Montana,Miriclan Investments CC t/a KW Infinity Montana,2,0129429400,zambezi@kwsa.co.za,W00019,6034,20,2523595,,,,
56,KW Infinity Pretoria North,Miriclan Investments cc t/a KW Infinity Pretoria North,2,0129429400,lize.vandermade@kwsa.co.za,W00034,6070,17,2523596,,,,
57,KW Impact,Emboss Estates Impact (Pty) Ltd t/a KW Impact,2,021 832 2700,,W00025,6036,12,2523597,,,,
58,KW Infinity Witbank,Miriclan Investments CC. t/a KW Infinity Witbank,2,013 656 4858,witbank@kwsa.co.za,W00035,6071,16,2523598,,,,
59,KW North,Edqoflo (Pty) Ltd t/a KW North,1,0150010128,kwnorth@kwsa.co.za,W00084,6248,1,2523599,,,8,2026/03/06 13:47
60,KW Premier,Emboss Estates Premier (Pty) Ltd t/a KW Premier,2,021 007 2160,kwpremier@kwsa.co.za,W00065,6187,14,2523600,,,,
61,KW Extreme,Emboss Estates Extreme (Pty) Ltd t/a KW Extreme,2,021 201 6556,kwextreme@kwsa.co.za,W00082,6246,11,2523601,,,,
67,KW Action Old,Direct Action Estates (PTY) Ltd t/a KW Action,2,039 317 3003,kwaction@kwsa.co.za,W00102,,9,2523602,,,,
69,Keller Williams Southern Africa,MILLIONAIRE AGENT PROPERTIES PTY LTD,1,0129401223,info@kwsa.co.za,WR0010,,42,2523603,,,,
70,KW Executive,Executive Homes Potchefstroom (Pty) Ltd t/a KW Executive,2,,kwexecutive@kwsa.co.za,W00118,6348,18,2523604,,,,
71,KW Eden,Eden Bold (Pty) Ltd t/a KW Eden,1,(044) 873 3060,kweden@kwsa.co.za,W00139,50017,22,2526346,,,1851,2026/04/15 09:39
72,KW Clockwork Benoni,Demigans Properties CC t/a KW Clockwork Benoni,1,011 568 0310,benoni@clockworkproperties.co.za,W00140,50018,21,2525582,,,3160,2025/08/21 12:00
73,KW Alpha,Jacques Louw Properties CC,2,0118676255,alpha@kwsa.co.za,W00189,50075,24,2523607,,,,
75,KW Counter Act,Counter Act Properties (Pty) Ltd,2,0108804577,kwcounteract@kwsa.coza,W00192,50078,26,2523608,,,,
76,KW Select,Nicato Investments (Pty) Ltd t/a KW Select,1,0115686180,kwselect@kwsa.co.za,W00197,50083,23,2523831,,,3160,2026/04/01 06:30
94,KW One,K201994037 (PTY) LTD t/a KW One,2,083 263 9326,kwone@kwsa.co.za,W00280,50182,27,2523610,,,,
95,New test office,,2,,,test,,43,2523611,,,,
115,KW Pr1me,2COR3 (Pty) Ltd t/a KW Pr1me,1,0129402967,niel.cronje@kwsa.co.za,W00322,50228,28,2523612,,,3160,2024/11/13 07:39
124,KW Pivot,Millionaire Virtual Office (Pty) Ltd t/a KW Pivot,1,0697437980,kwpivot@kwsa.co.za,W00356,50278,29,2523613,,,3160,2026/04/01 06:30
128,KW Adrienne Hersch Properties,Adrienne Hersch Properties (PTY) LTD,2,0117287013,kwahp@kwsa.co.za,W00376,50301,30,2523614,,,,
158,KW Dynamic,Commercial Mortage Company Sales (Pty) Ltd T/A KW Dynamic,1,0219138391,kwdynamic@kwsa.co.za,W00400,50326,31,2528279,5614,2025/07/08 08:23,6003,2026/04/09 11:21
166,KW Elite,Think Realty Pty Ltd t/a KW Elite,2,0218795078,kwelite@kwsa.co.za,W00410,50338,32,2523616,,,,
184,KW Explore Atlantic,Kelp Forest Investments (Pty) Ltd t/a KW Explore Atlantic,1,0212005811,kwexplore.atlantic@kwsa.co.za,W00434,50363,33,2528053,,,2,2026/02/02 12:32
187,KW Spectrum,Spectrum Realty (Pty) Ltd t/a KW Spectrum,2,0210010526,kwspectrum@kwsa.co.za,W00442,50371,34,2523618,,,,
207,KW Jacaranda,Singatorque Pty Ltd t/a KW Jacaranda,1,0122925996,kwjacaranda@kwsa.co.za,W00469,50406,38,2528280,,,9457,2025/07/08 07:54
209,KW Situs,Situs Properties (PTY) Ltd (2002/458975/07),2,012 653 3302,kwsitus@kwsa.co.za,W00472,50410,37,2523620,,,,
