table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
app,rental_audit_log,1,id,bigint,NO,nextval('app.rental_audit_log_id_seq'::regclass)
app,rental_audit_log,2,rental_id,bigint,YES,
app,rental_audit_log,3,payment_schedule_id,bigint,YES,
app,rental_audit_log,4,transaction_id,text,YES,
app,rental_audit_log,5,action,text,NO,
app,rental_audit_log,6,old_value,jsonb,YES,
app,rental_audit_log,7,new_value,jsonb,YES,
app,rental_audit_log,8,changed_by_user_id,text,YES,
app,rental_audit_log,9,changed_at,timestamp with time zone,NO,now()
app,rental_documents,1,id,bigint,NO,nextval('app.rental_documents_id_seq'::regclass)
app,rental_documents,2,rental_id,bigint,NO,
app,rental_documents,3,document_name,text,NO,
app,rental_documents,4,document_type,text,NO,'OTHER'::text
app,rental_documents,5,file_name,text,YES,
app,rental_documents,6,file_url,text,YES,
app,rental_documents,7,storage_path,text,YES,
app,rental_documents,8,uploaded_by_user_id,text,YES,
app,rental_documents,9,uploaded_at,timestamp with time zone,NO,now()
app,rental_participants,1,id,bigint,NO,nextval('app.rental_participants_id_seq'::regclass)
app,rental_participants,2,rental_id,bigint,NO,
app,rental_participants,3,associate_id,text,YES,
app,rental_participants,4,associate_name,text,YES,
app,rental_participants,5,participant_role,text,NO,
app,rental_participants,6,split_percentage,numeric,NO,0
app,rental_participants,7,gross_commission_amount,numeric,YES,0
app,rental_participants,8,company_dollar_amount,numeric,YES,0
app,rental_participants,9,royalty_amount,numeric,YES,0
app,rental_participants,10,growth_share_amount,numeric,YES,0
app,rental_participants,11,agent_net_amount,numeric,YES,0
app,rental_participants,12,counts_toward_cap,boolean,NO,false
app,rental_participants,13,created_at,timestamp with time zone,NO,now()
app,rental_participants,14,updated_at,timestamp with time zone,NO,now()
app,rental_participants,15,market_center_split,numeric,YES,0
app,rental_participants,16,agent_split,numeric,YES,0
app,rental_participants,17,agent_deal_split,numeric,YES,0
app,rental_payment_schedule,1,id,bigint,NO,nextval('app.rental_payment_schedule_id_seq'::regclass)
app,rental_payment_schedule,2,rental_id,bigint,NO,
app,rental_payment_schedule,3,payment_sequence_number,integer,NO,1
app,rental_payment_schedule,4,due_date,date,NO,
app,rental_payment_schedule,5,period_start_date,date,YES,
app,rental_payment_schedule,6,period_end_date,date,YES,
app,rental_payment_schedule,7,expected_rental_amount,numeric,YES,0
app,rental_payment_schedule,8,expected_commission_amount,numeric,YES,0
app,rental_payment_schedule,9,gross_commission,numeric,YES,0
app,rental_payment_schedule,10,company_dollar,numeric,YES,0
app,rental_payment_schedule,11,royalty,numeric,YES,0
app,rental_payment_schedule,12,growth_share,numeric,YES,0
app,rental_payment_schedule,13,agent_net_amount,numeric,YES,0
app,rental_payment_schedule,14,payment_status,text,NO,'UPCOMING'::text
app,rental_payment_schedule,15,paid_date,timestamp with time zone,YES,
app,rental_payment_schedule,16,cancelled_date,timestamp with time zone,YES,
app,rental_payment_schedule,17,cancelled_reason,text,YES,
app,rental_payment_schedule,18,transaction_created,boolean,NO,false
app,rental_payment_schedule,19,transaction_id,text,YES,
app,rental_payment_schedule,20,created_by_user_id,text,YES,
app,rental_payment_schedule,21,paid_by_user_id,text,YES,
app,rental_payment_schedule,22,cancelled_by_user_id,text,YES,
app,rental_payment_schedule,23,created_at,timestamp with time zone,NO,now()
app,rental_payment_schedule,24,updated_at,timestamp with time zone,NO,now()
app,rentals,1,id,bigint,NO,nextval('app.rentals_id_seq'::regclass)
app,rentals,2,rental_number,text,NO,
app,rentals,3,market_centre_id,text,YES,
app,rentals,4,market_centre_name,text,YES,
app,rentals,5,source_listing_id,text,YES,
app,rentals,6,listing_number,text,YES,
app,rentals,7,property_address,text,NO,
app,rentals,8,suburb,text,YES,
app,rentals,9,city,text,YES,
app,rentals,10,province,text,YES,
app,rentals,11,property_reference,text,YES,
app,rentals,12,property_notes,text,YES,
app,rentals,13,landlord_name,text,YES,
app,rentals,14,landlord_surname_or_company,text,YES,
app,rentals,15,landlord_id_or_reg_number,text,YES,
app,rentals,16,landlord_email,text,YES,
app,rentals,17,landlord_phone,text,YES,
app,rentals,18,landlord_alternative_phone,text,YES,
app,rentals,19,landlord_physical_address,text,YES,
