schemaname,tablename,indexname,indexdef
migration,app_users,app_users_email_key,CREATE UNIQUE INDEX app_users_email_key ON migration.app_users USING btree (email)
migration,app_users,app_users_google_id_key,CREATE UNIQUE INDEX app_users_google_id_key ON migration.app_users USING btree (google_id)
migration,app_users,app_users_pkey,CREATE UNIQUE INDEX app_users_pkey ON migration.app_users USING btree (id)
migration,associate_admin_market_centers,associate_admin_market_centers_pkey,CREATE UNIQUE INDEX associate_admin_market_centers_pkey ON migration.associate_admin_market_centers USING btree (id)
migration,associate_admin_market_centers,idx_associate_admin_market_centers_associate,CREATE INDEX idx_associate_admin_market_centers_associate ON migration.associate_admin_market_centers USING btree (associate_id)
migration,associate_admin_teams,associate_admin_teams_pkey,CREATE UNIQUE INDEX associate_admin_teams_pkey ON migration.associate_admin_teams USING btree (id)
migration,associate_admin_teams,idx_associate_admin_teams_associate,CREATE INDEX idx_associate_admin_teams_associate ON migration.associate_admin_teams USING btree (associate_id)
migration,associate_documents,associate_documents_pkey,CREATE UNIQUE INDEX associate_documents_pkey ON migration.associate_documents USING btree (id)
migration,associate_documents,idx_associate_documents_associate,CREATE INDEX idx_associate_documents_associate ON migration.associate_documents USING btree (associate_id)
migration,associate_job_titles,associate_job_titles_pkey,CREATE UNIQUE INDEX associate_job_titles_pkey ON migration.associate_job_titles USING btree (id)
migration,associate_job_titles,idx_associate_job_titles_associate,CREATE INDEX idx_associate_job_titles_associate ON migration.associate_job_titles USING btree (associate_id)
migration,associate_notes,associate_notes_pkey,CREATE UNIQUE INDEX associate_notes_pkey ON migration.associate_notes USING btree (id)
migration,associate_notes,idx_associate_notes_associate,CREATE INDEX idx_associate_notes_associate ON migration.associate_notes USING btree (associate_id)
migration,associate_roles,associate_roles_pkey,CREATE UNIQUE INDEX associate_roles_pkey ON migration.associate_roles USING btree (id)
migration,associate_roles,idx_associate_roles_associate,CREATE INDEX idx_associate_roles_associate ON migration.associate_roles USING btree (associate_id)
migration,associate_service_communities,associate_service_communities_pkey,CREATE UNIQUE INDEX associate_service_communities_pkey ON migration.associate_service_communities USING btree (id)
migration,associate_service_communities,idx_associate_service_communities_associate,CREATE INDEX idx_associate_service_communities_associate ON migration.associate_service_communities USING btree (associate_id)
migration,associate_social_media,associate_social_media_pkey,CREATE UNIQUE INDEX associate_social_media_pkey ON migration.associate_social_media USING btree (id)
migration,associate_social_media,idx_associate_social_media_associate,CREATE INDEX idx_associate_social_media_associate ON migration.associate_social_media USING btree (associate_id)
migration,associates_prepared,associates_prepared_pkey,CREATE UNIQUE INDEX associates_prepared_pkey ON migration.associates_prepared USING btree (source_associate_id)
migration,core_associates,core_associates_pkey,CREATE UNIQUE INDEX core_associates_pkey ON migration.core_associates USING btree (id)
migration,core_associates,core_associates_source_associate_id_key,CREATE UNIQUE INDEX core_associates_source_associate_id_key ON migration.core_associates USING btree (source_associate_id)
migration,core_listings,core_listings_pkey,CREATE UNIQUE INDEX core_listings_pkey ON migration.core_listings USING btree (id)
migration,core_listings,core_listings_source_listing_id_key,CREATE UNIQUE INDEX core_listings_source_listing_id_key ON migration.core_listings USING btree (source_listing_id)
migration,core_market_centers,core_market_centers_pkey,CREATE UNIQUE INDEX core_market_centers_pkey ON migration.core_market_centers USING btree (id)
migration,core_market_centers,core_market_centers_source_market_center_id_key,CREATE UNIQUE INDEX core_market_centers_source_market_center_id_key ON migration.core_market_centers USING btree (source_market_center_id)
migration,core_teams,core_teams_pkey,CREATE UNIQUE INDEX core_teams_pkey ON migration.core_teams USING btree (id)
migration,core_teams,core_teams_source_team_id_key,CREATE UNIQUE INDEX core_teams_source_team_id_key ON migration.core_teams USING btree (source_team_id)
migration,core_transactions,core_transactions_pkey,CREATE UNIQUE INDEX core_transactions_pkey ON migration.core_transactions USING btree (id)
migration,core_transactions,core_transactions_source_transaction_id_source_associate_id_key,"CREATE UNIQUE INDEX core_transactions_source_transaction_id_source_associate_id_key ON migration.core_transactions USING btree (source_transaction_id, source_associate_id)"
migration,core_transactions,idx_core_transactions_associate,CREATE INDEX idx_core_transactions_associate ON migration.core_transactions USING btree (associate_id)
migration,core_transactions,idx_core_transactions_date,CREATE INDEX idx_core_transactions_date ON migration.core_transactions USING btree (transaction_date)
migration,core_transactions,idx_core_transactions_mc,CREATE INDEX idx_core_transactions_mc ON migration.core_transactions USING btree (market_center_id)
migration,core_transactions,idx_core_transactions_status,CREATE INDEX idx_core_transactions_status ON migration.core_transactions USING btree (transaction_status)
migration,id_map_associates,id_map_associates_pkey,CREATE UNIQUE INDEX id_map_associates_pkey ON migration.id_map_associates USING btree (source_associate_id)
migration,id_map_legacy_associates,id_map_legacy_associates_pkey,CREATE UNIQUE INDEX id_map_legacy_associates_pkey ON migration.id_map_legacy_associates USING btree (source_associate_id)
migration,id_map_legacy_listings,id_map_legacy_listings_pkey,CREATE UNIQUE INDEX id_map_legacy_listings_pkey ON migration.id_map_legacy_listings USING btree (source_listing_id)
