schemaname,table_name,estimated_rows
migration,app_users,4
migration,associate_admin_market_centers,0
migration,associate_admin_teams,0
migration,associate_documents,12
migration,associate_job_titles,2
migration,associate_notes,0
migration,associate_roles,3
migration,associate_service_communities,0
migration,associate_social_media,0
migration,associates_prepared,9164
migration,core_associates,9166
migration,core_listings,5589
migration,core_market_centers,51
migration,core_teams,2
migration,core_transactions,29895
migration,id_map_associates,9164
migration,id_map_legacy_associates,0
migration,id_map_legacy_listings,0
migration,id_map_legacy_market_centers,0
migration,id_map_listings,5589
migration,id_map_market_centers,50
migration,id_map_teams,2
migration,listing_agents,5569
migration,listing_contacts,5569
migration,listing_features,0
migration,listing_images,0
migration,listing_mandate_documents,0
migration,listing_marketing_urls,0
migration,listing_open_house,0
migration,listing_property_areas,13076
migration,listing_show_times,0
migration,listings_prepared,5589
migration,load_rejections,0
migration,market_center_notes,0
migration,market_centers_prepared,50
migration,outside_agency_contacts,0
migration,teams_prepared,2
migration,transaction_agent_calculations,42155
migration,transaction_agents,42155
migration,transactions_prepared,46747
public,Associate,8998
public,IdCounter,0
public,Listing,0
public,ListingImage,0
public,MarketCentre,48
public,RentalPayment,0
public,RentalTransaction,0
public,Report,0
public,SaleTransaction,0
public,app_users,2
staging,associates_raw,9164
staging,listings_raw,9142
staging,market_centers_raw,50
staging,teams_raw,2
staging,transaction_agents,140958
staging,transactions_raw,136620
