schemaname,tablename,indexname,indexdef
app,rental_audit_log,idx_rental_audit_changed_at,CREATE INDEX idx_rental_audit_changed_at ON app.rental_audit_log USING btree (changed_at DESC)
app,rental_audit_log,idx_rental_audit_rental,CREATE INDEX idx_rental_audit_rental ON app.rental_audit_log USING btree (rental_id)
app,rental_audit_log,rental_audit_log_pkey,CREATE UNIQUE INDEX rental_audit_log_pkey ON app.rental_audit_log USING btree (id)
app,rental_documents,idx_rental_documents_rental,CREATE INDEX idx_rental_documents_rental ON app.rental_documents USING btree (rental_id)
app,rental_documents,rental_documents_pkey,CREATE UNIQUE INDEX rental_documents_pkey ON app.rental_documents USING btree (id)
app,rental_participants,idx_rental_participants_associate,CREATE INDEX idx_rental_participants_associate ON app.rental_participants USING btree (associate_id)
app,rental_participants,idx_rental_participants_rental,CREATE INDEX idx_rental_participants_rental ON app.rental_participants USING btree (rental_id)
app,rental_participants,rental_participants_pkey,CREATE UNIQUE INDEX rental_participants_pkey ON app.rental_participants USING btree (id)
app,rental_payment_schedule,idx_rental_schedule_due_date,CREATE INDEX idx_rental_schedule_due_date ON app.rental_payment_schedule USING btree (due_date)
app,rental_payment_schedule,idx_rental_schedule_rental,CREATE INDEX idx_rental_schedule_rental ON app.rental_payment_schedule USING btree (rental_id)
app,rental_payment_schedule,idx_rental_schedule_status,CREATE INDEX idx_rental_schedule_status ON app.rental_payment_schedule USING btree (payment_status)
app,rental_payment_schedule,rental_payment_schedule_pkey,CREATE UNIQUE INDEX rental_payment_schedule_pkey ON app.rental_payment_schedule USING btree (id)
app,rentals,idx_rentals_created_at,CREATE INDEX idx_rentals_created_at ON app.rentals USING btree (created_at DESC)
app,rentals,idx_rentals_listing_number,CREATE INDEX idx_rentals_listing_number ON app.rentals USING btree (listing_number)
app,rentals,idx_rentals_market_centre,CREATE INDEX idx_rentals_market_centre ON app.rentals USING btree (market_centre_id)
app,rentals,idx_rentals_source_listing_id,CREATE INDEX idx_rentals_source_listing_id ON app.rentals USING btree (source_listing_id)
app,rentals,idx_rentals_status,CREATE INDEX idx_rentals_status ON app.rentals USING btree (rental_status)
app,rentals,idx_rentals_type,CREATE INDEX idx_rentals_type ON app.rentals USING btree (rental_type)
app,rentals,rentals_pkey,CREATE UNIQUE INDEX rentals_pkey ON app.rentals USING btree (id)
app,rentals,rentals_rental_number_key,CREATE UNIQUE INDEX rentals_rental_number_key ON app.rentals USING btree (rental_number)
migration,agent_deregistration_log,agent_deregistration_log_pkey,CREATE UNIQUE INDEX agent_deregistration_log_pkey ON migration.agent_deregistration_log USING btree (id)
migration,agent_reactivation_log,agent_reactivation_log_pkey,CREATE UNIQUE INDEX agent_reactivation_log_pkey ON migration.agent_reactivation_log USING btree (id)
migration,associate_admin_market_centers,associate_admin_market_centers_pkey,CREATE UNIQUE INDEX associate_admin_market_centers_pkey ON migration.associate_admin_market_centers USING btree (id)
migration,associate_admin_market_centers,idx_assoc_admin_mc,CREATE INDEX idx_assoc_admin_mc ON migration.associate_admin_market_centers USING btree (associate_id)
migration,associate_admin_market_centers,idx_associate_admin_market_centers_associate,CREATE INDEX idx_associate_admin_market_centers_associate ON migration.associate_admin_market_centers USING btree (associate_id)
migration,associate_admin_teams,associate_admin_teams_pkey,CREATE UNIQUE INDEX associate_admin_teams_pkey ON migration.associate_admin_teams USING btree (id)
migration,associate_admin_teams,idx_assoc_admin_teams,CREATE INDEX idx_assoc_admin_teams ON migration.associate_admin_teams USING btree (associate_id)
migration,associate_admin_teams,idx_associate_admin_teams_associate,CREATE INDEX idx_associate_admin_teams_associate ON migration.associate_admin_teams USING btree (associate_id)
migration,associate_documents,associate_documents_pkey,CREATE UNIQUE INDEX associate_documents_pkey ON migration.associate_documents USING btree (id)
migration,associate_documents,idx_assoc_documents,CREATE INDEX idx_assoc_documents ON migration.associate_documents USING btree (associate_id)
