"source_associate_id","kwuid","growth_share_sponsor_source_id","proposed_growth_share_sponsor","temporary_growth_share_sponsor","vested","vesting_start_period","listing_approval_required","exclude_from_individual_reports","source_market_center_id","source_team_id"
"1","KW0001","2","","false","false","2016-06-22T00:00:00","false","false","69",""
"2","00002","22","","false","false","2016-06-22T00:00:00","false","false","69",""
"3","testing","895","","false","false","2016-06-22T00:00:00","true","false","69",""
"4","dsgsdg","","","false","false","2016-06-22T00:00:00","false","false","69",""
"5","KW0002","8","","false","false","2016-06-22T00:00:00","true","false","69",""
"6","KW0003","8","","false","false","2016-06-22T00:00:00","false","false","69",""
"7","358428","22","","false","true","2020-03-12T00:00:00","false","false","40","93"
"8","358098","22","","false","false","2012-12-01T00:00:00","false","false","69",""
"9","Testing","5","","false","false","2016-06-22T00:00:00","false","false","69",""
"10","358704","841","","false","false","2014-01-07T00:00:00","false","false","33","91"
"18","389375","706","","false","true","2019-08-12T00:00:00","true","false","28",""
"22","358425","8","","false","false","2012-10-11T00:00:00","false","false","234",""
"23","416323","187","","false","true","2018-07-18T00:00:00","false","false","33",""
"24","422197","676","","false","true","2015-09-22T00:00:00","true","false","40",""
"25","358097","841","","false","false","2014-02-03T00:00:00","false","false","69",""
"26","000015","8","","false","false","2016-06-24T00:00:00","false","false","69",""
"27","358444","22","","false","false","2013-01-10T00:00:00","true","false","124",""
"28","413697","712","","false","false","2015-08-01T00:00:00","true","false","72",""
"29","432444","","","false","true","2016-01-01T00:00:00","true","false","57",""
"30","432738","114","","false","true","2016-01-01T00:00:00","true","false","56",""
"31","446441","211","","false","true","2016-03-01T00:00:00","true","false","56",""
"32","358475","22","","false","false","2013-05-28T00:00:00","true","false","57",""
"33","446940","781","","false","true","2018-05-11T00:00:00","true","false","43",""
"34","453781","705","","false","true","2016-05-03T00:00:00","true","false","37",""
"35","456582","151","","false","true","2016-06-01T00:00:00","true","false","54","62"
"36","457119","160","","false","true","2016-06-01T00:00:00","true","false","45",""
"37","458078","354","","false","true","2016-06-09T00:00:00","true","false","57",""
"38","358456","22","","false","false","2013-04-09T00:00:00","false","false","26",""
"39","358476","32","","false","false","2013-05-28T00:00:00","false","false","31",""
"40","458076","411","","false","true","2016-06-09T00:00:00","true","false","35",""
"41","458468","50","","false","false","2016-06-01T00:00:00","true","false","44",""
"42","458938","483","","false","true","2016-06-01T00:00:00","true","false","59",""
"43","358466","841","","false","false","2013-05-07T00:00:00","false","false","43",""
"44","358487","","","false","true","2013-07-01T00:00:00","true","false","27",""
"45","358490","53","","false","true","2022-08-12T00:00:00","true","false","43",""
"46","458964","484","","false","true","2016-06-13T00:00:00","true","false","46",""
"47","459579","771","","false","true","2016-06-06T00:00:00","true","false","37",""
"48","459982","90","","false","false","2016-06-21T00:00:00","true","false","26",""
"49","358480","32","","false","false","2013-05-29T00:00:00","true","false","31","36"
"50","358488","841","","false","false","2013-07-01T00:00:00","false","false","43",""
"51","358485","32","","false","false","2013-05-29T00:00:00","true","false","31",""
"52","358501","55","","false","false","2013-06-10T00:00:00","false","false","115",""
"53","358489","50","","false","false","2013-07-01T00:00:00","false","false","43",""
"54","358493","50","","false","false","2013-06-07T00:00:00","false","false","43",""
"55","358494","38","","false","false","2013-06-10T00:00:00","false","false","115","80"
"56","358591","22","","false","false","2013-09-01T00:00:00","true","false","26",""
"57","365834","364","","false","false","2014-07-31T00:00:00","false","false","124",""
"58","371399","814","","false","false","2014-09-01T00:00:00","false","false","43",""
"59","373912","832","","false","true","2014-10-01T00:00:00","true","false","58",""
"60","373924","","","false","true","2014-10-01T00:00:00","true","false","58",""
"61","368506","32","","false","false","2014-08-06T00:00:00","true","false","31",""
"62","374122","832","","false","true","2015-01-01T00:00:00","true","false","58",""
"63","374313","59","","false","true","2014-10-03T00:00:00","true","false","58",""
"64","368519","32","","false","true","2014-08-06T00:00:00","true","false","31","51"
"65","374124","59","","false","true","2014-10-01T00:00:00","true","false","58",""
"66","368982","55","","false","false","2014-08-15T00:00:00","true","false","35",""
"67","369903","716","","false","false","2014-08-19T00:00:00","false","false","158","244"
"68","369907","67","","false","false","2014-08-19T00:00:00","false","false","158",""
"69","370474","759","","false","true","2014-09-03T00:00:00","true","false","54",""
"70","370869","","","false","true","2014-09-05T00:00:00","true","false","43",""
"71","370457","698","","false","false","2014-09-01T00:00:00","true","false","44",""
"72","374318","59","","false","true","2014-10-01T00:00:00","true","false","58",""
"73","375807","22","","false","true","2014-10-17T00:00:00","true","false","55",""
"74","376093","813","","false","false","2014-10-01T00:00:00","false","false","43",""
"75","370463","43","","false","false","2014-09-01T00:00:00","false","false","26",""
"76","377727","705","","false","false","2014-11-01T00:00:00","true","false","37",""
"77","377726","705","","false","true","2014-11-04T00:00:00","true","false","37",""
"78","371510","797","","false","false","2014-09-08T00:00:00","false","false","43",""
"79","371526","814","","false","false","2014-09-01T00:00:00","false","false","33","97"
"80","389732","723","","false","false","2015-02-09T00:00:00","true","false","26",""
"81","373201","79","","false","false","2014-09-16T00:00:00","false","false","33","97"
"82","373914","59","","false","true","2014-10-01T00:00:00","true","false","58",""
"83","373921","59","","false","false","2014-10-01T00:00:00","true","false","58",""
"84","377712","716","","false","true","2018-03-14T00:00:00","true","false","60",""
"85","377737","705","","false","true","2014-11-01T00:00:00","true","false","37",""
"86","377719","705","","false","false","2014-11-01T00:00:00","false","false","75",""
"87","377721","705","","false","false","2014-11-01T00:00:00","true","false","37",""
"88","377723","705","","false","false","2014-11-01T00:00:00","true","false","37",""
"89","377724","705","","false","false","2014-11-01T00:00:00","true","false","75",""
"90","377943","38","","false","false","2014-11-01T00:00:00","true","false","26",""
"91","378449","691","","false","true","2014-11-01T00:00:00","true","false","35",""
"92","379413","10","","false","true","2018-07-19T00:00:00","true","false","33",""
"93","378287","45","","false","true","2014-11-01T00:00:00","true","false","43",""
"94","378444","716","","false","false","2014-11-10T00:00:00","true","false","60",""
"95","378943","726","","false","false","2014-11-10T00:00:00","true","false","158",""
"96","379568","55","","false","true","2014-11-03T00:00:00","true","false","40",""
"97","381369","801","","false","false","2014-12-01T00:00:00","true","false","44",""
"98","384062","55","","false","false","2015-01-05T00:00:00","false","false","115",""
"99","384284","82","","false","true","2015-01-05T00:00:00","false","false","58",""
"100","384298","716","","false","true","2015-01-05T00:00:00","true","false","57",""
"101","381806","38","","false","true","2014-12-02T00:00:00","true","false","26",""
"102","384061","797","","false","false","2015-01-02T00:00:00","false","false","234",""
"103","384290","716","","false","false","2018-11-01T00:00:00","true","false","26",""
"104","384776","730","","false","true","2017-06-01T00:00:00","false","false","28",""
"105","385517","716","","false","false","2015-01-08T00:00:00","true","false","57",""
"106","385516","128","","false","false","2015-01-05T00:00:00","true","false","158",""
"107","386175","716","","false","false","2015-01-13T00:00:00","true","false","60",""
"108","387902","687","","false","false","2015-02-01T00:00:00","true","false","54",""
"109","389154","716","","false","false","2015-02-02T00:00:00","false","false","45",""
"110","385827","669","","false","false","2015-01-07T00:00:00","false","false","40",""
"111","389892","83","","false","false","2015-02-06T00:00:00","true","false","56",""
"112","386176","716","","false","true","2015-01-15T00:00:00","true","false","45",""
"113","387899","38","","false","true","2018-04-03T00:00:00","true","false","26",""
"114","389889","805","","false","true","2015-02-06T00:00:00","true","false","56",""
"115","389890","832","","false","false","2015-02-06T00:00:00","true","false","58",""
"116","390058","797","","false","true","2015-02-19T00:00:00","false","false","28",""
"117","390247","90","","false","false","2015-02-01T00:00:00","true","false","26",""
"118","390060","58","","false","true","2015-03-02T00:00:00","true","false","33",""
"119","390242","90","","false","false","2018-12-05T00:00:00","false","false","26","155"
"120","392167","669","","false","true","2015-03-06T00:00:00","true","false","35",""
"121","392165","91","","false","true","2015-03-06T00:00:00","true","false","35",""
"122","392813","687","","false","false","2015-03-08T00:00:00","false","false","60",""
"123","391473","27","","false","true","2015-03-02T00:00:00","true","false","33",""
"124","392591","","","false","true","2015-03-04T00:00:00","true","false","43",""
"125","392814","829","","false","false","2015-03-06T00:00:00","false","false","115",""
"126","392997","","","false","true","2015-03-10T00:00:00","true","false","43",""
"127","393520","684","","false","true","2018-07-17T00:00:00","true","false","43",""
"128","394052","709","","false","false","2015-03-19T00:00:00","false","false","158",""
"129","394875","709","","false","false","2015-03-25T00:00:00","false","false","57",""
"130","395433","43","","false","false","2015-03-30T00:00:00","true","false","26",""
"131","395919","50","","false","true","2015-04-01T00:00:00","true","false","43",""
"132","396668","94","","false","true","2015-04-07T00:00:00","true","false","45",""
"133","395916","696","","false","true","2015-04-01T00:00:00","false","false","43",""
"134","396169","676","","false","true","2015-04-02T00:00:00","true","false","40",""
"135","398755","705","","false","false","2015-04-22T00:00:00","false","false","37",""
"136","401133","130","","false","false","2015-05-06T00:00:00","true","false","26",""
"137","395905","75","","false","true","2015-04-01T00:00:00","true","false","26",""
"138","396661","709","","false","false","2015-04-01T00:00:00","true","false","60",""
"139","401137","691","","false","true","2015-05-11T00:00:00","true","false","35",""
"140","401331","830","","false","false","2015-05-02T00:00:00","false","false","158",""
"141","402367","146","","false","true","2015-05-05T00:00:00","true","false","56",""
"142","412733","82","","false","true","2015-08-01T00:00:00","true","false","61",""
"143","396658","716","","false","true","2018-03-12T00:00:00","true","false","45",""
"144","397457","38","","false","false","2015-04-01T00:00:00","false","false","26","287"
"145","398202","687","","false","true","2015-04-07T00:00:00","true","false","54","62"
