"source_associate_id","service_community_name"
"144","ALC"
"170","ALC"
"194","ALC"
"305","ALC"
"726","ALC"
"958","ALC"
"1130","ALC"
"1615","ALC"
"1691","ALC"
"1718","ALC"
"1776","ALC"
"1783","ALC"
"1816","ALC"
"3202","ALC"
"3310","ALC"
"3368","ALC"
"3416","ALC"
"3835","ALC"
"3836","ALC"
"3884","ALC"
"4001","ALC"
"4025","ALC"
"4121","ALC"
"4293","ALC"
"4304","ALC"
"4384","ALC"
"4490","ALC"
"4533","ALC"
"4548","ALC"
"4554","ALC"
"4576","ALC"
"4692","ALC"
"4839","ALC"
"4907","ALC"
"4925","ALC"
"4956","ALC"
"4977","ALC"
"4987","ALC"
"5040","ALC"
"5063","ALC"
"5078","ALC"
"5115","ALC"
"5155","ALC"
"5229","ALC"
"5281","ALC"
"5378","ALC"
"5380","ALC"
"5387","ALC"
"5389","ALC"
"5394","ALC"
"5529","ALC"
"5532","ALC"
"5728","ALC"
"5793","ALC"
"5838","ALC"
"5859","ALC"
"5966","ALC"
"5981","ALC"
"6089","ALC"
"6206","ALC"
"6218","ALC"
"6281","ALC"
"6291","ALC"
"6378","ALC"
"6393","ALC"
"6465","ALC"
"6751","ALC"
"6757","ALC"
"6887","ALC"
"6911","ALC"
"6936","ALC"
"6953","ALC"
"6964","ALC"
"6994","ALC"
"7091","ALC"
"7098","ALC"
"7248","ALC"
"7394","ALC"
"7507","ALC"
"7514","ALC"
"7606","ALC"
"7783","ALC"
"7969","ALC"
"8315","ALC"
"8507","ALC"
"4","Luxury"
"79","Luxury"
"81","Luxury"
"1507","Luxury"
"1772","Luxury"
"4077","Luxury"
"4677","Luxury"
"5033","Luxury"
"5034","Luxury"
"5204","Luxury"
"5647","Luxury"
"6580","Luxury"
"6844","Luxury"
"6936","Luxury"
"8343","Luxury"
"7405","Agent"
"7986","Agent"
"8298","Agent"
"9307","Agent"
"9308","Agent"
"9316","Agent"
"9404","Agent"
"9454","Agent"
"9545","Agent"
"9566","Agent"
"9644","Agent"
"9677","Agent"
"9680","Agent"
"9681","Agent"
"9682","Agent"
"9683","Agent"
"9685","Agent"
"9686","Agent"
"9687","Agent"
"9688","Agent"
"9689","Agent"
"9706","Agent"
"9715","Agent"
"9716","Agent"
"9731","Agent"
"9732","Agent"
"9733","Agent"
"9748","Agent"
"9749","Agent"
"9750","Agent"
"9751","Agent"
"9752","Agent"
"9757","Agent"
"9758","Agent"
"9759","Agent"
"9762","Agent"
"9769","Agent"
"9771","Agent"
"9776","Agent"
"9778","Agent"
"9784","Agent"
"9785","Agent"
"9793","Agent"
"9828","Agent"
"9829","Agent"
"9831","Agent"
"9834","Agent"
"9854","Agent"
"9861","Agent"
"9862","Agent"
"9863","Agent"
"9865","Agent"
"9866","Agent"
"9874","Agent"
"9910","Agent"
"9914","Agent"
"9916","Agent"
"9926","Agent"
"9931","Agent"
"9935","Agent"
"9944","Agent"
"9952","Agent"
"9955","Agent"
"9956","Agent"
"9967","Agent"
"9988","Agent"
"9999","Agent"
"10002","Agent"
"10006","Agent"
"10008","Agent"
"10010","Agent"
"10012","Agent"
"10014","Agent"
"10017","Agent"
"10019","Agent"
"10024","Agent"
"10038","Agent"
"10046","Agent"
"10049","Agent"
"10050","Agent"
"10055","Agent"
"10064","Agent"
"10065","Agent"
"10068","Agent"
"10075","Agent"
"10100","Agent"
"10102","Agent"
"10103","Agent"
"10104","Agent"
"10106","Agent"
"10109","Agent"
"10123","Agent"
"10124","Agent"
"10136","Agent"
"10145","Agent"
"10146","Agent"
"10147","Agent"
"10148","Agent"
"10149","Agent"
"10157","Agent"
"10164","Agent"
"10165","Agent"
"10191","Agent"
"10211","Agent"
"10214","Agent"
"10216","Agent"
"10224","Agent"
"10227","Agent"
"10250","Agent"
"10253","Agent"
"10266","Agent"
"10268","Agent"
"10273","Agent"
"10284","Agent"
"10285","Agent"
"10286","Agent"
"10287","Agent"
"10288","Agent"
"10291","Agent"
"10292","Agent"
"10294","Agent"
"10304","Agent"
"10312","Agent"
"10314","Agent"
"10321","Agent"
"10343","Agent"
"10344","Agent"
"10350","Agent"
"10357","Agent"
"10377","Agent"
"10378","Agent"
"10394","Agent"
"10396","Agent"
"10416","Agent"
"10418","Agent"
"10419","Agent"
"10421","Agent"
"10422","Agent"
"10423","Agent"
"10424","Agent"
"10426","Agent"
"10428","Agent"
"10433","Agent"
"10434","Agent"
"10435","Agent"
"10436","Agent"
"10438","Agent"
"10439","Agent"
"10441","Agent"
"10447","Agent"
"10450","Agent"
"10451","Agent"
"10462","Agent"
"10463","Agent"
"10466","Agent"
"10468","Agent"
"10469","Agent"
"10479","Agent"
"10484","Agent"
"10485","Agent"
"10486","Agent"
"10490","Agent"
"10500","Agent"
"10504","Agent"
"10505","Agent"
"10506","Agent"
"10508","Agent"
"10512","Agent"
"10513","Agent"
"10519","Agent"
"10520","Agent"
"10521","Agent"
"10522","Agent"
"10523","Agent"
"10524","Agent"
"10532","Agent"
"10533","Agent"
"10536","Agent"
"10538","Agent"
"10544","Agent"
"10551","Agent"
"10559","Agent"
"10560","Agent"
"10566","Agent"
"10567","Agent"
"10568","Agent"
"10571","Agent"
"10574","Agent"
"10584","Agent"
"10588","Agent"
"10589","Agent"
"10598","Agent"
"10604","Agent"
"8089","Rainbow"
