"source_associate_id","feed_to_p24","p24_agent_id","entegral_agent_id","feed_to_entegral","entegral_sync_message"
"1","false","","","false",""
"2","true","321577","","false",""
"3","true","","","false",""
"4","true","","","false",""
"5","true","","","false",""
"6","true","","","false",""
"7","true","284160","","true",""
"8","true","","","true","Entegral integration not enabled for team/market center"
"9","true","","","false",""
"10","true","","","true",""
"18","true","302525","","true",""
"22","true","551912","22","true","Success"
"23","true","171165","","true",""
"24","true","","","false",""
"25","true","","","true",""
"26","true","","","false",""
"27","true","439075","","true",""
"28","true","441115","","true",""
"29","true","","","false",""
"30","true","","","true",""
"31","true","","","true",""
"32","true","230024","","true",""
"33","true","191097","","true",""
"34","true","187900","","true",""
"35","true","","","true",""
"36","true","","","true",""
"37","true","","","true",""
"38","true","110383","","true",""
"39","true","186413","","false",""
"40","false","193864","","false",""
"41","true","277211","","true",""
"42","true","190455","","true",""
"43","true","224317","43","true","Agent profile updated successfully"
"44","true","","","false",""
"45","true","485272","45","true","Agent profile updated successfully"
"46","true","190607","","true",""
"47","true","209688","","true",""
"48","true","192776","","true",""
"49","true","212382","","true",""
"50","true","19594","50","true","Agent profile updated successfully"
"51","true","190089","","false",""
"52","true","452214","","true",""
"53","true","57662","53","true","Agent profile updated successfully"
"54","true","481065","54","true","Agent profile updated successfully"
"55","true","452228","","true",""
"56","true","194247","56","true","Associate updated successfully"
"57","true","342476","57","true","Success"
"58","true","190110","","true",""
"59","false","59358","","false",""
"60","true","166614","","false",""
"61","true","126182","","true",""
"62","true","","","true",""
"63","true","129151","","true",""
"64","true","128157","","true",""
"65","true","","","true",""
"66","true","219881","","true",""
"67","true","358688","","true",""
"68","true","359401","68","true","Associate updated successfully"
"69","true","126202","","true",""
"70","true","","","false",""
"71","true","167222","","true",""
"72","true","","","false",""
"73","true","169293","","true",""
"74","true","197378","","true",""
"75","true","195995","","true",""
"76","true","91243","","true",""
"77","true","229039","","true",""
"78","true","172579","","true",""
"79","true","127237","","true",""
"80","true","497417","80","true","Agent profile updated successfully"
"81","true","145689","","true",""
"82","true","104229","","true",""
"83","true","59488","","true",""
"84","true","186197","","true",""
"85","true","92333","","true",""
"86","true","260669","","false",""
"87","true","199964","","true",""
"88","true","91239","","true",""
"89","true","260504","","true",""
"90","true","158180","","true",""
"91","true","148696","","true",""
"92","true","146351","","true",""
"93","true","182631","","true",""
"94","true","225126","","true",""
"95","true","361499","","true",""
"96","true","148697","","true",""
"97","true","277227","","true",""
"98","true","447203","","true",""
"99","false","","","false",""
"100","true","151826","","true",""
"101","true","159578","","true",""
"102","true","160321","102","true","Agent profile updated successfully"
"103","true","273060","","true",""
"104","false","193523","","false",""
"105","true","165693","","true",""
"106","true","379976","106","true","Success"
"107","true","225927","","true",""
"108","false","","","false",""
"109","true","182907","","true",""
"110","true","306545","","true",""
"111","true","148778","","true",""
"112","true","149449","","true",""
"113","true","156650","","true",""
"114","true","215589","","true",""
"115","true","200921","","true",""
"116","false","152143","","false",""
"117","true","167620","","true",""
"118","true","152959","","true",""
"119","true","174635","119","true","Agent profile updated successfully"
"120","true","186373","","true",""
