"source_listing_id","url","marketing_url_type_id"
"288755","o_WUjw6MkR4","1"
"288179","https://my.matterport.com/show/?m=XXyiDk4Qj8P","2"
"288179","XXyiDk4Qj8P","4"
"287439","https://my.matterport.com/show/?m=KiGnaGKJKHJ","2"
"287439","KiGnaGKJKHJ","4"
"288800","IrY9jB1c8kU","1"
"288808","https://www.youtube.com/watch?v=NCy8ldu69NM","1"
"288807","watch?v=4W1AX6_X56w","1"
"288855","https://drive.google.com/file/d/1rELXYgCYc1voSviQnksviyAx9bFLoYfx/view","4"
"288874","zxGb7JeA2zY","1"
"288873","4mCIToBpIOo","1"
"288805","7y0IzeWMFRQ","1"
"288893","bvkP3TclZTQ","1"
"288778","6Hga7uSNdJU","1"
"","dCXeDegqCCY","1"
"288819","zXiqSkzz48o","1"
"288207","zUgVZWZlAuA","1"
"288924","qmaCfUMh0lA","1"
"288792","KLWeHJ1vVjE","1"
"","XfKVXUsdmmY","1"
"180027","yiH3W35OS7s","1"
"180066","w_AxRPZvfzo ","1"
"180097","uc2cVEMT6m4","1"
"180107","yif41zXSf-k","1"
"180123","Mn5Z8RACOrU&t=52s","1"
"180142","oe8U5pwKkPA","1"
"180271","nVSyaVszgBk","1"
"180331","pPEQ_rb2SRg","1"
"180342","https://youtu.be/VJ190pb4BDM","1"
"180361","54PZ16Fev0w","1"
"180368","tGefH73DaFM","1"
"180388","tA2G6pHimh8","1"
"180405","fNMYsOtbLkA","1"
"180417","0kLc3-itbBQ  ","1"
"180426","F7fMREtk6Rw","1"
"180447","7Z0nTJAFDtg","1"
"180459","6pZ8NVnJQQg","1"
"180478","A_MaqZB8OLI4","1"
"180604","jZ6RZMPO0wY","1"
"180657","RzgyZVN6snc","1"
"180806","gsJjrGtyx-A","1"
"180923","Example (remove and add your own information or use ","1"
"180990","https://youtu.be/YTwGOH5VztY","1"
"180994","7kLS7dykg3g","1"
"181032","Mc--f1YiU_o","1"
"181048","W2DAP5KfCso","1"
"181053","q4eCkJn1pSw","1"
"181088","/CWc2HPE6Xy4","1"
"181146","LmxbOzT0yww","1"
"181183","fNW04WcADRo","1"
"181209","1uFvcvrEQZ0","1"
"181280","i3lmybBtxck","1"
"181283"," ","1"
"181368","Lmk9ku82vK8","1"
"181381","NT1LRNzVHk4","1"
"181395","EHyWhjvCnTg","1"
"181503","/Wb-R3GdOgGA","1"
"181598","mmhrqi3bIho","1"
"181623","srcdk0YaOG8","1"
"181702","/3n6DLloTfdw","1"
"181728","https://www.youtube.com/watch?v=YoY9vWZYCZw&t=1s","1"
"181872",".","1"
"181873","rYgckuwxeaI","1"
"181901","s5O2ayCOmZ4","1"
"181936","1d63Z5ounvE","1"
"181953","yLe1Ch-iVN0","1"
"181963","aVEMUePtA68","1"
"182059","bzLzda7TRC8","1"
"182070","/gducZ1zraMM","1"
"182090","BIqb3tZXGtY","1"
"182098","LPySLjIupYY","1"
"182103","P1KAVJC_F34","1"
"182107","B9YQqPVhOSk","1"
"182134","SmgxUFmHBi4","1"
"182174","OLhFXzoQVYQ ","1"
"182182","AHld-cW3Gc","1"
"182219","XqAB3VLslwc","1"
"182240","YnU_29CfG1Q","1"
"182250","gYLJyFskFdQ ","1"
"182253","tCVHfS7BLlc","1"
"182365","NrJvT3_Kan0","1"
"182423","DTSyROGntAA","1"
"182492","Yngdd4IxOQA","1"
"182511","_PoJrIZiJAk","1"
"182534","<iframe width="560" height="315" src="https://www.youtube.com/embed/y8ulIYrHqe4" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>","1"
