"source_market_center_id","name","status_name","frontdoor_id","source_updated_at"
"26","KW Advance","Active","6021","2025-03-07T11:18:35.1576394"
"27","KW Sync (West Rand North)","Inactive","",""
"28","KW Explore","Active","6029","2026-02-03T09:49:50.7033333"
"31","KW Scenic","Inactive","6023",""
"33","KW Red Door","Inactive","6018",""
"35","KW Legends","Inactive","6026",""
"37","KW South","Inactive","6083",""
"38","KW Avantgarde","Inactive","",""
"39","KW Avantgarde Sasolburg","Inactive","",""
"40","KW Centurion Old","Inactive","6019",""
"43","KW Clockwork Edenvale","Active","6024","2025-08-18T19:49:17.2439120"
"44","KW Clockwork Sandton","Inactive","50086",""
"45","KW Coastal","Inactive","6030",""
"46","KW Distinguish Global","Inactive","6247",""
"47","KW Edge","Active","6154","2026-02-05T06:37:48.9600000"
"50","KW Explore PE","Active","6049","2026-02-04T05:52:59.6400000"
"54","KW Ignite","Inactive","6033",""
"55","KW Infinity Montana","Inactive","6034",""
"56","KW Infinity Pretoria North","Inactive","6070",""
"57","KW Impact","Inactive","6036",""
"58","KW Infinity Witbank","Inactive","6071",""
"59","KW North","Active","6248","2026-03-06T13:47:23.6633333"
"60","KW Premier","Inactive","6187",""
"61","KW Extreme","Inactive","6246",""
"67","KW Action Old","Inactive","",""
"69","Keller Williams Southern Africa","Active","",""
"70","KW Executive","Inactive","6348",""
"71","KW Eden","Active","50017","2026-04-15T09:39:05.7366667"
"72","KW Clockwork Benoni","Active","50018","2025-08-21T12:00:46.0063025"
"73","KW Alpha","Inactive","50075",""
"75","KW Counter Act","Inactive","50078",""
"76","KW Select","Active","50083","2026-04-01T06:30:56.4927110"
"94","KW One","Inactive","50182",""
"95","New test office","Inactive","",""
"115","KW Pr1me","Active","50228","2024-11-13T07:39:09.9599718"
"124","KW Pivot","Active","50278","2026-04-01T06:30:56.4935298"
"128","KW Adrienne Hersch Properties","Inactive","50301",""
"158","KW Dynamic","Active","50326","2026-04-09T11:21:36.1500000"
"166","KW Elite","Inactive","50338",""
"184","KW Explore Atlantic","Active","50363","2026-02-02T12:32:01.2133333"
"187","KW Spectrum","Inactive","50371",""
"207","KW Jacaranda","Active","50406","2025-07-08T07:54:55.7706620"
"209","KW Situs","Inactive","50410",""
"210","KW Lowveld","Active","50409","2026-02-06T06:07:56.4266667"
"223","KW Giants","Inactive","50439",""
"234","KW Action","Active","6019","2026-02-04T19:45:52.4233333"
"248","KW Signal","Inactive","2386575",""
"249","KW Botswana","Active","","2025-01-10T07:18:59.5769518"
