"source_team_id","source_market_center_id","name","status_name","source_updated_at"
"34","54","Zimbali Estate Agency - Powered by Keller Williams","Inactive",""
"36","31","KW Stanford","Inactive",""
"41","43","KW Clockwork Boksburg","Inactive",""
"51","31","KW Kleinmond","Inactive",""
"52","31","KW Gansbaai","Inactive",""
"53","31","KW Sandbaai","Inactive",""
"62","54","KW Momentum","Inactive",""
"65","27","KW Sync Prestige","Inactive",""
"78","54","Nice & Easy Estates Associated with KW Ignite","Inactive",""
"79","184","Explore Developments","Active","2025-06-26T13:20:07.4786695"
"80","115","Ronel Joubert Team","Inactive",""
"81","47","North","Inactive",""
"82","234","Property Legends","Inactive",""
"83","47","Team Davis","Inactive",""
"84","72","WSPG Team","Inactive",""
"85","40","Anna-Marie & Team*","Inactive",""
"86","40","Team Black","Inactive",""
"87","26","Team Innovatio","Inactive",""
"88","207","Team Chaplog","Active","2025-07-07T11:20:44.3345942"
"89","94","Vorster Group*","Inactive",""
"90","45","Team ABC","Inactive",""
"91","33","Team Y","Inactive",""
"92","40","NFC Properties","Inactive",""
"93","40","Team Jaryn","Inactive",""
"96","76","Team Michelle & Michael","Active",""
"97","33","Red Property Auctions","Inactive",""
"98","47","Team Maartens Properties","Inactive",""
"99","47","ROCO Realty","Inactive",""
"102","94","Vorster Group_KW One","Inactive",""
"104","94","V Group_KW One","Inactive",""
"105","94","Team V","Inactive",""
"106","44","Armer Properties","Inactive",""
"108","44","Prop360","Inactive",""
"109","71","Team Excellence","Inactive",""
"110","71","Team Hurter","Inactive",""
"111","71","Team Rossouw","Inactive",""
"112","71","Nuove Sfide","Inactive",""
"113","57","Team Awesome*","Active","2025-06-22T17:26:23.0897661"
"114","57","Team Wearing*","Inactive","2026-03-25T10:01:27.6066667"
"117","57","MJVR Real Estate Group*","Inactive",""
"118","234","Supreme","Active",""
"119","94","Team Sold*","Inactive",""
"120","94","Mauritius4U","Inactive",""
"121","60","Team Trevor & Lindsay*","Inactive",""
"122","72","Renze Properties","Inactive","2025-01-28T14:19:38.1866397"
"123","60","Elite","Inactive",""
"126","28","Property Brothers South Africa","Inactive",""
"127","71","Langeberg Lifestyle Properties*","Inactive",""
"129","47","Team Oasis","Inactive",""
"130","71","Team Viljoen","Inactive",""
"132","71","Madles","Inactive","2025-07-23T12:32:49.9543014"
"133","50","TEAM HARRINGTON","Inactive",""
